starchFactory,starchFactory_label,class,country,KEY,minStarch,rangeStarch,price
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,1,NG,AlliedAtlanticDistilleries1,20,>20,19000
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,2,NG,AlliedAtlanticDistilleries2,19,19-20,17750
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,3,NG,AlliedAtlanticDistilleries3,18,18-19,16500
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,4,NG,AlliedAtlanticDistilleries4,17,17-18,15250
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,5,NG,AlliedAtlanticDistilleries5,16,16-17,14000
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,6,NG,AlliedAtlanticDistilleries6,15,15-16,12750
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,7,NG,AlliedAtlanticDistilleries7,14,14-15,11500
AlliedAtlanticDistilleries,Allied Atlantic Distilleries Ltd.,8,NG,AlliedAtlanticDistilleries8,0,0-14,5750
MatnaStarch,Matna Starch Ltd.,1,NG,MatnaStarch1,24,>24,17000
MatnaStarch,Matna Starch Ltd.,2,NG,MatnaStarch2,22,22-23,16000
MatnaStarch,Matna Starch Ltd.,3,NG,MatnaStarch3,20,20-21,15500
MatnaStarch,Matna Starch Ltd.,4,NG,MatnaStarch4,18,18-19,14500
MatnaStarch,Matna Starch Ltd.,5,NG,MatnaStarch5,16,16-17,13500
MatnaStarch,Matna Starch Ltd.,6,NG,MatnaStarch6,13,13-15,12000
MatnaStarch,Matna Starch Ltd.,7,NG,MatnaStarch7,0,0-12,6000
PsaltryMarketers,Psaltry (marketers),1,NG,PsaltryMarketers1,26.1,>26.1,13000
PsaltryMarketers,Psaltry (marketers),2,NG,PsaltryMarketers2,23.1,23.1-26,12000
PsaltryMarketers,Psaltry (marketers),3,NG,PsaltryMarketers3,20.1,20.1-23,11000
PsaltryMarketers,Psaltry (marketers),4,NG,PsaltryMarketers4,18.1,18.1-20,10000
PsaltryMarketers,Psaltry (marketers),5,NG,PsaltryMarketers5,16.1,16.1-18,9000
PsaltryMarketers,Psaltry (marketers),6,NG,PsaltryMarketers6,0,0-16,4500
PsaltryOutgrowers,Psaltry (outgrowers),3,NG,PsaltryOutgrowers3,20,>20,18000
PsaltryOutgrowers,Psaltry (outgrowers),4,NG,PsaltryOutgrowers4,16,16-20,17000
PsaltryOutgrowers,Psaltry (outgrowers),5,NG,PsaltryOutgrowers5,11,15-20,16000
PsaltryOutgrowers,Psaltry (outgrowers),6,NG,PsaltryOutgrowers6,0,0-10,8000
Greentech,Greentech Industries Ltd.,1,NG,GreenTech1,25,>25,25000
Greentech,Greentech Industries Ltd.,2,NG,GreenTech2,22,22-24,24000
Greentech,Greentech Industries Ltd.,3,NG,GreenTech3,20,20-22,22000
Greentech,Greentech Industries Ltd.,4,NG,GreenTech4,18,18-20,20000
Greentech,Greentech Industries Ltd.,5,NG,GreenTech5,16,16-18,18000
Greentech,Greentech Industries Ltd.,6,NG,GreenTech6,14,14-16,16000
Greentech,Greentech Industries Ltd.,7,NG,GreenTech7,0,0-14,8000
PremiumCassavaProducts,Premium Cassava Products Ltd.,1,NG,PremiumCassavaProducts1,0,>0,20000
FJS,African Starch Development Company Ltd. (FJS),1,TZ,FJS1,0,>0,125000
CSTC,Cassava Starch Tanzania Corporation (CSTC),1,TZ,CSTC1,0,>0,83333.33333
DarCanton,Dar Canton Investment Company (DCI),1,TZ,DarCanton1,0,>0,93333.33333
